fips,Agriculture,Mining,Construction,Manufacturing,Retail,Finance,Professional Services,Health Care,Government
38999,0.0,0.0,300.0,125.0,72.0,1186.0,193.0,162.0,180.0
39000,19581.0,8728.0,255732.0,682285.0,541496.0,235093.0,294127.0,933796.0,221108.0
39001,0.0,0.0,468.0,841.0,855.0,199.0,6.0,1609.0,381.0
39003,0.0,0.0,2131.0,8779.0,5259.0,887.0,1622.0,9764.0,1908.0
39005,0.0,0.0,862.0,3277.0,2308.0,259.0,1357.0,122.0,800.0
39007,141.0,42.0,1158.0,6989.0,3284.0,576.0,468.0,5667.0,1076.0
39009,22.0,26.0,583.0,665.0,2603.0,413.0,424.0,3960.0,922.0
39011,0.0,0.0,1043.0,8703.0,1969.0,235.0,512.0,2711.0,613.0
39013,42.0,720.0,1042.0,703.0,3811.0,406.0,560.0,3371.0,1477.0
39015,0.0,0.0,320.0,712.0,1028.0,191.0,7.0,1523.0,543.0
39017,0.0,0.0,9176.0,24856.0,16399.0,8618.0,4887.0,20393.0,3540.0
39019,15.0,150.0,617.0,920.0,797.0,80.0,8.0,214.0,273.0
39021,0.0,0.0,261.0,3686.0,997.0,169.0,336.0,993.0,408.0
39023,400.0,44.0,1288.0,6769.0,4685.0,1858.0,964.0,7089.0,2017.0
39025,0.0,0.0,3920.0,6442.0,9043.0,2334.0,2765.0,7298.0,2242.0
39027,0.0,0.0,502.0,3263.0,1514.0,258.0,247.0,81.0,629.0
39029,231.0,98.0,1229.0,6102.0,2974.0,484.0,503.0,4814.0,1476.0
39031,72.0,74.0,322.0,2873.0,1368.0,178.0,30.0,1658.0,325.0
39033,0.0,0.0,557.0,1889.0,1346.0,541.0,3.0,108.0,530.0
39035,203.0,330.0,23957.0,65000.0,54567.0,34382.0,46635.0,153546.0,29299.0
39037,0.0,0.0,936.0,4205.0,1955.0,540.0,7.0,2573.0,567.0
39039,0.0,0.0,521.0,3067.0,2256.0,555.0,213.0,2197.0,515.0
39041,0.0,0.0,3897.0,7216.0,12405.0,4544.0,6718.0,11522.0,2298.0
39043,0.0,0.0,1111.0,5444.0,5032.0,721.0,674.0,5184.0,1415.0
39045,59.0,9.0,3425.0,4446.0,6671.0,718.0,1410.0,9250.0,1650.0
39047,172.0,0.0,470.0,1874.0,1880.0,159.0,5.0,110.0,369.0
39049,402.0,178.0,36112.0,36607.0,67182.0,42798.0,53313.0,148184.0,41480.0
39051,0.0,0.0,841.0,5739.0,1561.0,289.0,11.0,112.0,695.0
39053,0.0,0.0,569.0,505.0,1378.0,328.0,132.0,391.0,333.0
39055,0.0,0.0,2529.0,6640.0,4914.0,1093.0,1280.0,4747.0,1063.0
39057,217.0,128.0,1713.0,3722.0,9876.0,1064.0,11774.0,8848.0,17044.0
39059,43.0,557.0,499.0,2842.0,1650.0,211.0,396.0,3067.0,636.0
39061,488.0,113.0,24648.0,48677.0,39341.0,28825.0,36959.0,96717.0,13311.0
39063,42.0,13.0,1597.0,10740.0,3977.0,614.0,1421.0,5788.0,904.0
39065,0.0,0.0,181.0,1759.0,818.0,212.0,5.0,154.0,381.0
39067,20.0,225.0,242.0,303.0,294.0,51.0,9.0,513.0,270.0
39069,0.0,0.0,820.0,2990.0,999.0,217.0,11.0,1486.0,426.0
39071,65.0,29.0,766.0,1980.0,1666.0,381.0,3.0,1789.0,423.0
39073,0.0,0.0,348.0,989.0,898.0,109.0,5.0,1038.0,455.0
39075,233.0,60.0,2529.0,8002.0,2827.0,368.0,409.0,1456.0,349.0
39077,332.0,0.0,1751.0,6179.0,2231.0,409.0,295.0,2569.0,629.0
39079,111.0,19.0,728.0,2439.0,1352.0,196.0,10.0,134.0,441.0
39081,0.0,83.0,1093.0,1538.0,2557.0,249.0,345.0,4185.0,975.0
39083,92.0,103.0,1202.0,4336.0,2371.0,403.0,395.0,3491.0,679.0
39085,0.0,0.0,4638.0,21515.0,12344.0,5201.0,3378.0,11745.0,3525.0
39087,0.0,0.0,935.0,1126.0,1683.0,205.0,227.0,3601.0,495.0
39089,848.0,49.0,5279.0,10476.0,7835.0,2353.0,2343.0,7645.0,2860.0
39091,0.0,0.0,733.0,5026.0,1777.0,268.0,15.0,2222.0,579.0
39093,0.0,0.0,4759.0,15678.0,12625.0,1917.0,2623.0,15280.0,4892.0
39095,204.0,150.0,8757.0,22898.0,21042.0,4581.0,7584.0,40921.0,6885.0
39097,196.0,0.0,1327.0,3457.0,2078.0,185.0,907.0,127.0,1770.0
39099,225.0,136.0,4894.0,9310.0,11428.0,1747.0,2936.0,20103.0,3791.0
39101,0.0,0.0,599.0,5165.0,2530.0,313.0,257.0,3994.0,1168.0
39103,0.0,0.0,4681.0,9222.0,8502.0,1446.0,2418.0,7638.0,1880.0
39105,0.0,0.0,251.0,93.0,556.0,106.0,23.0,131.0,281.0
39107,0.0,0.0,1185.0,5890.0,2006.0,611.0,489.0,683.0,450.0
39109,138.0,66.0,2270.0,10127.0,4195.0,672.0,1186.0,4695.0,1133.0
39111,0.0,0.0,169.0,159.0,305.0,109.0,20.0,41.0,268.0
39113,0.0,0.0,10784.0,27230.0,23586.0,7289.0,14442.0,55706.0,8203.0
39115,9.0,18.0,107.0,533.0,261.0,93.0,34.0,49.0,237.0
39117,142.0,19.0,432.0,746.0,627.0,76.0,3.0,272.0,383.0
39119,123.0,808.0,1522.0,3259.0,4853.0,732.0,535.0,7583.0,1045.0
39121,0.0,107.0,148.0,236.0,254.0,0.0,144.0,367.0,600.0
39123,82.0,101.0,775.0,2028.0,1537.0,299.0,229.0,249.0,939.0
39125,0.0,0.0,119.0,1123.0,360.0,99.0,4.0,258.0,312.0
39127,15.0,122.0,423.0,836.0,767.0,144.0,131.0,183.0,430.0
39129,248.0,34.0,850.0,2252.0,1540.0,266.0,264.0,2339.0,1805.0
39131,0.0,0.0,563.0,893.0,1050.0,234.0,37.0,75.0,359.0
39133,235.0,197.0,2413.0,10210.0,7000.0,1041.0,2445.0,6270.0,1921.0
39135,0.0,0.0,471.0,3805.0,1132.0,215.0,195.0,1293.0,507.0
39137,130.0,24.0,1119.0,4024.0,1213.0,282.0,255.0,1366.0,387.0
39139,0.0,0.0,2177.0,9428.0,6069.0,967.0,923.0,8435.0,2696.0
39141,74.0,16.0,780.0,4720.0,3793.0,501.0,419.0,7136.0,2150.0
39143,0.0,0.0,1046.0,8554.0,2478.0,485.0,542.0,197.0,640.0
39145,0.0,0.0,660.0,1561.0,2746.0,375.0,496.0,9040.0,1751.0
39147,64.0,153.0,882.0,4507.0,2229.0,434.0,10.0,2782.0,574.0
39149,181.0,0.0,1639.0,12052.0,1884.0,265.0,430.0,253.0,670.0
39151,175.0,287.0,8139.0,24072.0,19140.0,4409.0,5441.0,28618.0,3983.0
39153,451.0,117.0,12723.0,26773.0,26804.0,9753.0,14329.0,48195.0,7578.0
39155,137.0,73.0,3104.0,10249.0,9757.0,1194.0,1082.0,10968.0,2635.0
39157,166.0,599.0,1772.0,8777.0,4343.0,663.0,1058.0,4914.0,1355.0
39159,0.0,0.0,1796.0,8338.0,2981.0,534.0,45.0,2733.0,1204.0
39161,148.0,20.0,281.0,3021.0,1100.0,699.0,126.0,1638.0,391.0
39163,0.0,0.0,88.0,431.0,195.0,76.0,2.0,447.0,236.0
39165,309.0,38.0,4550.0,13218.0,11199.0,2949.0,5429.0,13030.0,3214.0
39167,29.0,284.0,1520.0,3501.0,2700.0,751.0,742.0,5748.0,955.0
39169,816.0,223.0,2615.0,13934.0,5328.0,1157.0,1436.0,6770.0,1166.0
39171,0.0,0.0,531.0,5999.0,2386.0,232.0,256.0,1877.0,549.0
39173,395.0,78.0,4667.0,14485.0,6208.0,1172.0,1902.0,6613.0,2118.0
39175,161.0,151.0,938.0,3401.0,846.0,204.0,5.0,619.0,304.0
39999,254.0,669.0,7668.0,3242.0,5331.0,24.0,31156.0,8357.0,4071.0
40000,9808.0,30300.0,90362.0,142378.0,188014.0,59498.0,85779.0,249357.0,127196.0
40001,0.0,0.0,91.0,1167.0,592.0,134.0,0.0,0.0,253.0
40003,25.0,3.0,62.0,31.0,102.0,0.0,28.0,71.0,291.0
40005,0.0,0.0,75.0,106.0,523.0,144.0,83.0,0.0,289.0
40007,71.0,147.0,161.0,28.0,122.0,0.0,35.0,0.0,89.0
40009,66.0,2306.0,720.0,167.0,1395.0,269.0,216.0,0.0,329.0
40011,60.0,115.0,67.0,671.0,316.0,0.0,56.0,177.0,282.0
40013,201.0,85.0,625.0,1762.0,2088.0,434.0,443.0,1935.0,4203.0
40015,133.0,138.0,327.0,67.0,737.0,214.0,213.0,0.0,1726.0
40017,132.0,1639.0,2096.0,4095.0,5127.0,1011.0,1421.0,3736.0,1965.0
40019,106.0,1047.0,854.0,2554.0,3806.0,688.0,635.0,3393.0,915.0
40021,0.0,0.0,360.0,272.0,1702.0,313.0,213.0,2517.0,6542.0
40023,13.0,104.0,203.0,108.0,531.0,0.0,137.0,943.0,517.0
40025,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,62.0
40027,339.0,406.0,5215.0,3982.0,11823.0,2546.0,4384.0,9227.0,3462.0
40029,26.0,71.0,88.0,61.0,102.0,0.0,16.0,247.0,189.0
40031,0.0,0.0,1626.0,3884.0,5366.0,1251.0,1419.0,4096.0,4561.0
40033,0.0,0.0,137.0,16.0,143.0,44.0,28.0,72.0,144.0
40035,0.0,0.0,90.0,160.0,654.0,171.0,0.0,0.0,425.0
40037,67.0,355.0,2317.0,3895.0,1875.0,444.0,0.0,2633.0,2016.0
40039,75.0,709.0,694.0,1097.0,1534.0,377.0,328.0,1297.0,705.0
40041,0.0,0.0,662.0,605.0,1499.0,270.0,285.0,1649.0,479.0
40043,20.0,688.0,86.0,68.0,128.0,0.0,30.0,0.0,104.0
40045,59.0,47.0,15.0,19.0,91.0,0.0,38.0,0.0,90.0
40047,155.0,601.0,1035.0,2514.0,3049.0,727.0,1205.0,3314.0,1271.0
40049,94.0,529.0,614.0,927.0,1271.0,269.0,320.0,0.0,430.0
40051,368.0,398.0,1213.0,1675.0,1533.0,467.0,0.0,1197.0,698.0
40053,45.0,131.0,79.0,7.0,0.0,0.0,30.0,0.0,133.0
40055,0.0,0.0,16.0,0.0,122.0,0.0,13.0,99.0,277.0
40057,56.0,0.0,0.0,0.0,65.0,46.0,11.0,75.0,27.0
40059,0.0,0.0,19.0,0.0,121.0,0.0,0.0,52.0,151.0
40061,37.0,151.0,146.0,72.0,407.0,0.0,93.0,0.0,251.0
40063,148.0,80.0,38.0,198.0,343.0,48.0,46.0,220.0,188.0
40065,0.0,0.0,0.0,0.0,1199.0,247.0,3.0,1305.0,1623.0
40067,42.0,8.0,17.0,10.0,125.0,0.0,29.0,0.0,114.0
40069,33.0,231.0,109.0,382.0,194.0,0.0,25.0,1010.0,250.0
40071,90.0,312.0,973.0,2189.0,2231.0,374.0,9.0,1942.0,1407.0
40073,279.0,683.0,512.0,849.0,759.0,192.0,130.0,523.0,267.0
40075,108.0,80.0,0.0,0.0,276.0,102.0,44.0,0.0,122.0
40077,0.0,17.0,182.0,0.0,206.0,51.0,94.0,249.0,883.0
40079,105.0,217.0,519.0,1144.0,1569.0,384.0,489.0,289.0,1220.0
40081,74.0,102.0,862.0,597.0,915.0,501.0,329.0,711.0,701.0
40083,189.0,189.0,848.0,436.0,1503.0,205.0,628.0,1133.0,284.0
40085,41.0,27.0,82.0,67.0,188.0,51.0,41.0,0.0,156.0
40087,167.0,395.0,1643.0,500.0,1522.0,582.0,526.0,967.0,520.0
40089,204.0,21.0,724.0,2523.0,2012.0,267.0,9.0,0.0,911.0
40091,0.0,0.0,88.0,78.0,1262.0,156.0,0.0,780.0,273.0
40093,166.0,337.0,110.0,68.0,325.0,60.0,43.0,255.0,125.0
40095,0.0,0.0,178.0,1865.0,573.0,90.0,0.0,404.0,263.0
40097,230.0,150.0,1109.0,3187.0,1708.0,267.0,0.0,833.0,572.0
40099,18.0,177.0,319.0,524.0,555.0,0.0,117.0,0.0,516.0
40101,77.0,32.0,1093.0,3263.0,3235.0,548.0,483.0,5725.0,3142.0
40103,0.0,56.0,167.0,0.0,311.0,112.0,0.0,393.0,346.0
40105,19.0,31.0,51.0,214.0,197.0,52.0,29.0,0.0,140.0
40107,78.0,38.0,65.0,202.0,250.0,0.0,23.0,418.0,370.0
40109,602.0,7385.0,23717.0,24954.0,49000.0,20220.0,33643.0,80146.0,45074.0
40111,47.0,50.0,329.0,1033.0,1340.0,318.0,225.0,601.0,1732.0
40113,65.0,323.0,370.0,462.0,876.0,143.0,282.0,159.0,1288.0
40115,0.0,0.0,330.0,1349.0,1235.0,248.0,196.0,0.0,1799.0
40117,0.0,0.0,162.0,130.0,425.0,83.0,0.0,589.0,704.0
40119,107.0,424.0,1643.0,1320.0,4030.0,731.0,1315.0,3954.0,1526.0
40121,7.0,255.0,437.0,2307.0,1810.0,380.0,335.0,1495.0,1640.0
40123,61.0,269.0,640.0,1535.0,2012.0,468.0,785.0,2714.0,3266.0
40125,53.0,248.0,664.0,2085.0,2650.0,624.0,0.0,3382.0,3059.0
